time,agentname,agentamount
2.853768,E,129
2.853768,H,0
2.853768,I,69
2.853768,R,32
2.853768,S,9770
2.870334,E,128
2.870334,H,0
2.870334,I,70
2.870334,R,32
2.870334,S,9770
2.871990,E,129
2.871990,H,0
2.871990,I,70
2.871990,R,32
2.871990,S,9769
2.873195,E,130
2.873195,H,0
2.873195,I,70
2.873195,R,32
2.873195,S,9768
2.893962,E,130
2.893962,H,0
2.893962,I,69
2.893962,R,33
2.893962,S,9768
2.899784,E,131
2.899784,H,0
2.899784,I,69
2.899784,R,33
2.899784,S,9767
2.902881,E,130
2.902881,H,0
2.902881,I,70
2.902881,R,33
2.902881,S,9767
2.928362,E,131
2.928362,H,0
2.928362,I,70
2.928362,R,33
2.928362,S,9766
2.937249,E,132
2.937249,H,0
2.937249,I,70
2.937249,R,33
2.937249,S,9765
2.937946,E,132
2.937946,H,0
2.937946,I,69
2.937946,R,34
2.937946,S,9765
2.940321,E,133
2.940321,H,0
2.940321,I,69
2.940321,R,34
2.940321,S,9764
2.961240,E,134
2.961240,H,0
2.961240,I,69
2.961240,R,34
2.961240,S,9763
2.963649,E,133
2.963649,H,0
2.963649,I,70
2.963649,R,34
2.963649,S,9763
2.974148,E,134
2.974148,H,0
2.974148,I,70
2.974148,R,34
2.974148,S,9762
2.993764,E,134
2.993764,H,0
2.993764,I,69
2.993764,R,35
2.993764,S,9762
2.997360,E,133
2.997360,H,0
2.997360,I,70
2.997360,R,35
2.997360,S,9762
3.002950,E,134
3.002950,H,0
3.002950,I,70
3.002950,R,35
3.002950,S,9761
3.004702,E,133
3.004702,H,0
3.004702,I,71
3.004702,R,35
3.004702,S,9761
3.006609,E,134
3.006609,H,0
3.006609,I,71
3.006609,R,35
3.006609,S,9760
3.062499,E,135
3.062499,H,0
3.062499,I,71
3.062499,R,35
3.062499,S,9759
3.075781,E,136
3.075781,H,0
3.075781,I,71
3.075781,R,35
3.075781,S,9758
3.107104,E,137
3.107104,H,0
3.107104,I,71
3.107104,R,35
3.107104,S,9757
3.112113,E,138
3.112113,H,0
3.112113,I,71
3.112113,R,35
3.112113,S,9756
3.121383,E,139
3.121383,H,0
3.121383,I,71
3.121383,R,35
3.121383,S,9755
3.134880,E,138
3.134880,H,0
3.134880,I,72
3.134880,R,35
3.134880,S,9755
3.135142,E,139
3.135142,H,0
3.135142,I,72
3.135142,R,35
3.135142,S,9754
3.139665,E,138
3.139665,H,0
3.139665,I,73
3.139665,R,35
3.139665,S,9754
3.143031,E,137
3.143031,H,0
3.143031,I,74
3.143031,R,35
3.143031,S,9754
3.146094,E,138
3.146094,H,0
3.146094,I,74
3.146094,R,35
3.146094,S,9753
3.152355,E,139
3.152355,H,0
3.152355,I,74
3.152355,R,35
3.152355,S,9752
3.163031,E,140
3.163031,H,0
3.163031,I,74
3.163031,R,35
3.163031,S,9751
3.164526,E,139
3.164526,H,0
3.164526,I,75
3.164526,R,35
3.164526,S,9751
3.166178,E,138
3.166178,H,0
3.166178,I,76
3.166178,R,35
3.166178,S,9751
3.168365,E,139
3.168365,H,0
3.168365,I,76
3.168365,R,35
3.168365,S,9750
3.203147,E,140
3.203147,H,0
3.203147,I,76
3.203147,R,35
3.203147,S,9749
3.218741,E,139
3.218741,H,0
3.218741,I,77
3.218741,R,35
3.218741,S,9749
3.253672,E,139
3.253672,H,0
3.253672,I,76
3.253672,R,36
3.253672,S,9749
3.266536,E,140
3.266536,H,0
3.266536,I,76
3.266536,R,36
3.266536,S,9748
3.266665,E,140
3.266665,H,0
3.266665,I,75
3.266665,R,37
3.266665,S,9748
3.268524,E,141
3.268524,H,0
3.268524,I,75
3.268524,R,37
3.268524,S,9747
3.291033,E,141
3.291033,H,0
3.291033,I,74
3.291033,R,38
3.291033,S,9747
3.296089,E,140
3.296089,H,0
3.296089,I,75
3.296089,R,38
3.296089,S,9747
3.307579,E,139
3.307579,H,0
3.307579,I,76
3.307579,R,38
3.307579,S,9747
3.318342,E,140
3.318342,H,0
3.318342,I,76
3.318342,R,38
3.318342,S,9746
3.325215,E,139
3.325215,H,0
3.325215,I,77
3.325215,R,38
3.325215,S,9746
3.339763,E,140
3.339763,H,0
3.339763,I,77
3.339763,R,38
3.339763,S,9745
3.373211,E,141
3.373211,H,0
3.373211,I,77
3.373211,R,38
3.373211,S,9744
3.387483,E,142
3.387483,H,0
3.387483,I,77
3.387483,R,38
3.387483,S,9743
3.389861,E,141
3.389861,H,0
3.389861,I,78
3.389861,R,38
3.389861,S,9743
3.408298,E,142
3.408298,H,0
3.408298,I,78
3.408298,R,38
3.408298,S,9742
3.411480,E,141
3.411480,H,0
3.411480,I,79
3.411480,R,38
3.411480,S,9742
3.419895,E,141
3.419895,H,0
3.419895,I,78
3.419895,R,39
3.419895,S,9742
3.462450,E,140
3.462450,H,0
3.462450,I,79
3.462450,R,39
3.462450,S,9742
3.469311,E,141
3.469311,H,0
3.469311,I,79
3.469311,R,39
3.469311,S,9741
3.478426,E,142
3.478426,H,0
3.478426,I,79
3.478426,R,39
3.478426,S,9740
3.494424,E,142
3.494424,H,0
3.494424,I,78
3.494424,R,40
3.494424,S,9740
3.515353,E,142
3.515353,H,0
3.515353,I,77
3.515353,R,41
3.515353,S,9740
3.530786,E,143
3.530786,H,0
3.530786,I,77
3.530786,R,41
3.530786,S,9739
3.531436,E,142
3.531436,H,0
3.531436,I,78
3.531436,R,41
3.531436,S,9739
3.534235,E,143
3.534235,H,0
3.534235,I,78
3.534235,R,41
3.534235,S,9738
3.541897,E,144
3.541897,H,0
3.541897,I,78
3.541897,R,41
3.541897,S,9737
3.542682,E,144
3.542682,H,0
3.542682,I,77
3.542682,R,42
3.542682,S,9737
3.546677,E,145
3.546677,H,0
3.546677,I,77
3.546677,R,42
3.546677,S,9736
3.556362,E,146
3.556362,H,0
3.556362,I,77
3.556362,R,42
3.556362,S,9735
3.558197,E,147
3.558197,H,0
3.558197,I,77
3.558197,R,42
3.558197,S,9734
3.571312,E,148
